Algoritmo,ID_VETOR,NumeroEntradas,Tempo,TipoEntrada
BubbleSort,1,1,4e-06,Aleatória
BubbleSort,1,2,2.3e-06,Aleatória
BubbleSort,1,3,1.5e-06,Aleatória
BubbleSort,1,4,1.3e-06,Aleatória
BubbleSort,1,6,2.1e-06,Aleatória
BubbleSort,1,7,1.5e-06,Aleatória
BubbleSort,1,10,2.4e-06,Aleatória
BubbleSort,1,13,1.9e-06,Aleatória
BubbleSort,1,18,2.2e-06,Aleatória
BubbleSort,1,24,2.6e-06,Aleatória
BubbleSort,1,32,3e-06,Aleatória
BubbleSort,1,42,3.8e-06,Aleatória
BubbleSort,1,56,4.5e-06,Aleatória
BubbleSort,1,75,7.9e-06,Aleatória
BubbleSort,1,100,1.15e-05,Aleatória
BubbleSort,1,133,2.5e-05,Aleatória
BubbleSort,1,178,2.64e-05,Aleatória
BubbleSort,1,237,3.91e-05,Aleatória
BubbleSort,1,316,6.56e-05,Aleatória
BubbleSort,1,422,0.0001057,Aleatória
BubbleSort,1,562,0.0001876,Aleatória
BubbleSort,1,750,0.0003177,Aleatória
BubbleSort,1,1000,0.0005295,Aleatória
BubbleSort,1,1200,0.0007316,Aleatória
BubbleSort,1,1441,0.0010535,Aleatória
BubbleSort,1,1730,0.0015718,Aleatória
BubbleSort,1,2077,0.0022441,Aleatória
BubbleSort,1,2493,0.0031806,Aleatória
BubbleSort,1,2993,0.004433,Aleatória
BubbleSort,1,3593,0.0064606,Aleatória
BubbleSort,1,4313,0.0097102,Aleatória
BubbleSort,1,5177,0.0143431,Aleatória
BubbleSort,1,6215,0.0244739999999999,Aleatória
BubbleSort,1,7461,0.0335206,Aleatória
BubbleSort,1,8957,0.0561452,Aleatória
BubbleSort,1,10752,0.0927588,Aleatória
BubbleSort,1,12907,0.1519379,Aleatória
BubbleSort,1,15495,0.258038,Aleatória
BubbleSort,1,18601,0.4109831,Aleatória
BubbleSort,1,22330,0.5755277,Aleatória
BubbleSort,1,26806,0.8480993999999998,Aleatória
BubbleSort,1,32179,1.2649529,Aleatória
BubbleSort,1,38629,1.9243257,Aleatória
BubbleSort,1,46373,3.2657411,Aleatória
BubbleSort,1,55668,5.5011153,Aleatória
BubbleSort,1,66827,6.6659435,Aleatória
BubbleSort,1,80223,8.933511799999998,Aleatória
BubbleSort,1,96304,12.7299175,Aleatória
BubbleSort,1,115609,18.3664963,Aleatória
BubbleSort,1,138784,26.5511215,Aleatória
BubbleSort,1,166604,37.8409322,Aleatória
BubbleSort,1,200000,55.4346625,Aleatória
BubbleSort,2,1,2.7e-06,Aleatória
BubbleSort,2,2,2.1e-06,Aleatória
BubbleSort,2,3,1.2e-06,Aleatória
BubbleSort,2,4,2.1e-06,Aleatória
BubbleSort,2,6,1.2e-06,Aleatória
BubbleSort,2,7,4.7e-06,Aleatória
BubbleSort,2,10,2.6e-06,Aleatória
BubbleSort,2,13,2.4e-06,Aleatória
BubbleSort,2,18,1.8e-06,Aleatória
BubbleSort,2,24,2e-06,Aleatória
BubbleSort,2,32,3.1e-06,Aleatória
BubbleSort,2,42,4e-06,Aleatória
BubbleSort,2,56,4.1e-06,Aleatória
BubbleSort,2,75,5.9e-06,Aleatória
BubbleSort,2,100,9.6e-06,Aleatória
